title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Riverdale,series,1,"['Crime', 'Drama', 'Mystery']",190.837,"['K.J. Apa', 'Lili Reinhart', 'Camila Mendes', 'Cole Sprouse', 'Madelaine Petsch', 'Casey Cott', 'Charles Melton', 'Vanessa Morgan', 'Erinn Westbrook', 'Drew Ray Tanner']",,['5/19/22'],69050.0,2017-01-26
Keeping Up with the Kardashians,series,1,['Reality'],39.228,"['Kris Jenner', 'Kourtney Kardashian', 'Kim Kardashian', 'Khloé Kardashian', 'Kendall Jenner', 'Kylie Jenner', 'Scott Disick', 'Tristan Thompson', 'Corey Gamble']",,['5/8/22'],14814.0,2007-10-14
Greenhouse Academy,series,40,['Drama'],19.57,"['Ariel Mortman', 'Finn Roberts', ""Christopher O'Neal"", 'Dallas Hart', 'Cinthya Carmona', 'Benjamin Papac', 'B.J. Mitchell', 'Parker Stevenson']",,"['5/7/22', '5/7/22', '5/7/22', '5/7/22', '5/6/22', '5/6/22', '5/6/22', '5/5/22', '5/5/22', '5/5/22', '5/5/22', '5/5/22', '5/5/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/4/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/3/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22', '5/2/22']",73602.0,2017-09-08
Travelers,series,3,"['Drama', 'Sci-Fi & Fantasy']",47.614,"['Eric McCormack', 'MacKenzie Porter', 'Nesta Cooper', 'Jared Abrahamson', 'Reilly Dolman', 'Patrick Gilmore']",,"['4/24/22', '4/24/22', '4/23/22']",67683.0,2016-10-17
Dirty Lines,series,1,['Drama'],5.011,"['Charlie Dagelet', 'Benja Bruijning', 'Laura Bakker', 'Pip Lieke Lucas', 'Abbey Hoes', 'Joes Brauers', 'Julia Akkermans', 'André Dongelmans', 'Minne Koole', 'Nick Golterman']",,['4/14/22'],105306.0,2022-04-08
Biohackers,series,7,"['Drama', 'Sci-Fi & Fantasy', 'Action & Adventure', 'Mystery']",11.556,"['Luna Wedler', 'Jessica Schwarz', 'Adrian Julius Tillmann', 'Thomas Prenn', 'Jing Xiang', 'Caro Cult', 'Sebastian Jakob Doppelbauer']",,"['4/11/22', '4/11/22', '4/11/22', '4/11/22', '4/9/22', '4/9/22', '4/9/22']",100074.0,2020-08-20
Trinkets,series,2,['Drama'],14.212,"['Brianna Hildebrand', 'Kiana Madeira', 'Quintessa Swindell', 'Kat Cunning', 'Brandon Butler', 'Odiseas Georgiadis', 'Larry Sullivan', 'Linden Ashby', 'Henry Zaga']",,"['4/7/22', '4/7/22']",89852.0,2019-06-14
Brand New Cherry Flavor,series,1,"['Drama', 'Mystery', 'Sci-Fi & Fantasy']",25.653,"['Rosa Salazar', 'Catherine Keener', 'Eric Lange', 'Jeff Ward', 'Manny Jacinto', 'Daniel Doheny', 'Mark Acheson', 'Hannah Levien']",,['3/15/22'],129418.0,2021-08-13
The 100,series,4,"['Sci-Fi & Fantasy', 'Drama', 'Action & Adventure']",170.646,"['Eliza Taylor', 'Tasya Teles', 'Marie Avgeropoulos', 'Bob Morley', 'Chuku Modu', 'JR Bourne', 'Shelby Flannery', 'Shannon Kook', 'Lindsey Morgan', 'Richard Harmon']",,"['3/10/22', '3/10/22', '3/8/22', '3/8/22']",48866.0,2014-03-19
Superstore,series,2,['Comedy'],75.288,"['Ben Feldman', 'Lauren Ash', 'Colton Dunn', 'Nico Santos', 'Nichole Sakura', 'Mark McKinney', 'Kaliko Kauahi']",,"['3/8/22', '2/28/22']",62649.0,2015-11-30
