title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Passengers,film,1,"['Drama', 'Romance', 'Science Fiction']",22.638,"['Jennifer Lawrence', 'Chris Pratt', 'Michael Sheen', 'Laurence Fishburne', 'Andy García', 'Vince Foster', 'Kara Michele Wilder', 'Conor Brophy', 'Julee Cerda', 'Aurora Perrineau']",6453,[['2021-08-02']],274870,2016-12-21
Jupiter Ascending,film,3,"['Science Fiction', 'Fantasy', 'Action']",43.626,"['Channing Tatum', 'Mila Kunis', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth', 'Edward Hogg', 'Maria Doyle Kennedy', 'Tuppence Middleton', 'Nikki Amuka-Bird', 'Vanessa Kirby']",7155,"[['2021-07-10', '2021-07-10', '2021-07-09']]",76757,2015-02-04
Charlie's Angels,film,2,"['Action', 'Adventure', 'Comedy']",29.642,"['Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks', 'Patrick Stewart', 'Djimon Hounsou', 'Sam Claflin', 'Noah Centineo', 'Nat Faxon', 'Chris Pang']",5397,"[['2021-07-09', '2021-07-07']]",458897,2019-11-14
Lucy,film,2,"['Action', 'Science Fiction']",40.181,"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik', 'Amr Waked', 'Julian Rhind-Tutt', 'Pilou Asbæk', 'Lio Tipton', 'Shin Yoo-ram', 'Seo Chong-ju', 'Nicolas Phongpheth']",5125,"[['2021-06-23', '2021-06-23']]",240832,2014-07-25
Extraction,film,3,"['Drama', 'Action', 'Thriller']",90.134,"['Chris Hemsworth', 'Rudhraksh Jaiswal', 'Randeep Hooda', 'Golshifteh Farahani', 'Pankaj Tripathi', 'David Harbour', 'Bryon Lerum', 'Ryder Lerum', 'Shivam Vichare', 'Piyush Khati']",2016,"[['2021-06-06', '2021-06-04', '2021-06-03']]",545609,2020-04-24
American Sniper,film,1,"['War', 'Action']",64.673,"['Bradley Cooper', 'Sienna Miller', 'Kyle Gallner', 'Cole Konis', 'Ben Reed', 'Elise Robertson', ""Keir O'Donnell"", 'Luke Sunshine', 'Kevin Lacz', 'Troy Vincent']",61,[['2021-06-03']],190859,2014-12-25
Endless Love,film,1,"['Romance', 'Drama']",20.698,"['Brooke Shields', 'Martin Hewitt', 'Shirley Knight', 'Don Murray', 'Richard Kiley', 'Beatrice Straight', 'James Spader', 'Ian Ziering', 'Robert Moore', 'Penelope Milford']",5,[['2021-06-03']],19114,1981-07-17
The Irishman,film,1,"['Crime', 'Drama', 'History']",22.583,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Stephen Graham', 'Ray Romano', 'Harvey Keitel', 'Bobby Cannavale', 'Anna Paquin', 'Stephanie Kurtzuba', 'Kathrine Narducci']",1569,[['2021-05-28']],398978,2019-11-01
Seaspiracy,film,2,['Documentary'],8.838,"['Ali Tabrizi', 'Sylvia Earle', ""Richard O'Barry"", 'Paul de Gelder', 'Lucy Tabrizi', 'Jonathan Balcombe', 'George Monbiot', 'Michael Klaper']",5419,"[['2021-04-09', '2021-04-09']]",801058,2021-03-24
Ginny & Georgia - The Afterparty,film,1,"['Romance', 'Comedy', 'Drama', 'Family']",5.401,"['Yami Gautam', 'Vikrant Massey', 'Ayesha Raza', 'Suhail Nayyar', 'Rajiv Gupta', 'Menka Kurup', 'Mazel Vyas', 'Gurpreet Saini', 'Isha Talwar', 'Sanchita Puri']",326,[['2021-03-04']],744676,2020-10-09
