title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
Falling Inn Love,film,,"['Romance', 'Comedy']",,"['Christina Milian', 'Adam Demos', 'Jeffrey Bowyer-Chapman', 'Anna Jullienne', 'Claire Chitham', 'Blair Strang', 'Jonathan Martin', 'William Walker', 'Daniel Watterson', 'Simone Walker']",,,623195.0,2019-08-29
Secret Obsession,film,,"['Drama', 'Thriller']",,"['Brenda Song', 'Mike Vogel', 'Dennis Haysbert', 'Ashley Scott', 'Paul Sloan', 'Daniel Booko', 'Scott Peat', 'Blair Hickey', 'Michael Patrick McGill', 'Casey Leach']",,,612152.0,2019-07-18
Sixteen Candles,film,,"['Comedy', 'Romance']",,"['Molly Ringwald', 'Justin Henry', 'Michael Schoeffling', 'Haviland Morris', 'Gedde Watanabe', 'Anthony Michael Hall', 'Paul Dooley', 'Carlin Glynn', 'Blanche Baker', 'Edward Andrews']",,,15144.0,1984-05-04
The Notebook,film,,"['Romance', 'Drama']",,"['Rachel McAdams', 'Ryan Gosling', 'Gena Rowlands', 'James Garner', 'Sam Shepard', 'Joan Allen', 'James Marsden', 'David Thornton', 'Kevin Connolly', 'Starletta DuPois']",,,11036.0,2004-06-25
He's Just Not That Into You,film,,"['Comedy', 'Romance', 'Drama']",,"['Ginnifer Goodwin', 'Justin Long', 'Bradley Cooper', 'Scarlett Johansson', 'Jennifer Connelly', 'Jennifer Aniston', 'Ben Affleck', 'Drew Barrymore', 'Kevin Connolly', 'Kris Kristofferson']",,,10184.0,2009-02-06
Friends with Benefits,film,,"['Romance', 'Comedy']",,"['Justin Timberlake', 'Mila Kunis', 'Jenna Elfman', 'Patricia Clarkson', 'Woody Harrelson', 'Richard Jenkins', 'Bryan Greenberg', 'Andy Samberg', 'Nolan Gould', 'Shaun White']",,,50544.0,2011-07-21
Easy A,film,,['Comedy'],,"['Emma Stone', 'Penn Badgley', 'Amanda Bynes', 'Dan Byrd', 'Thomas Haden Church', 'Patricia Clarkson', 'Cam Gigandet', 'Lisa Kudrow', 'Malcolm McDowell', 'Aly Michalka']",,,37735.0,2010-09-16
No Reservations,film,,"['Comedy', 'Romance', 'Drama']",,"['Catherine Zeta-Jones', 'Aaron Eckhart', 'Abigail Breslin', 'Patricia Clarkson', 'Jenny Wade', 'Bob Balaban', ""Brían F. O'Byrne"", 'Lily Rabe', 'Eric Silver', 'Arija Bareikis']",,,3638.0,2007-06-15
Love Actually,film,,"['Comedy', 'Romance', 'Drama']",,"['Alan Rickman', 'Bill Nighy', 'Colin Firth', 'Emma Thompson', 'Hugh Grant', 'Laura Linney', 'Liam Neeson', 'Martine McCutcheon', 'Andrew Lincoln', 'Chiwetel Ejiofor']",,,508.0,2003-09-07
Over the Hedge,film,,"['Family', 'Comedy', 'Animation']",,"['Bruce Willis', 'Garry Shandling', 'Steve Carell', 'Wanda Sykes', 'William Shatner', 'Nick Nolte', 'Thomas Haden Church', 'Allison Janney', 'Eugene Levy', ""Catherine O'Hara""]",,,7518.0,2006-05-17
